HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[91.83637368551813]HEADINGFAULT-GILDA,1182.3940342860053,1183.823808406447,Optional[100.45097517320346],
HEADINGFAULT-HENRY,1084.0507781155923,1148.7196461204724,Optional[17.001974636145736]HEADINGFAULT-GILDA,1142.8563764061962,1198.0641448594388,Optional[58.10706722566057]HEADINGFAULT-GILDA,163.8301492778401,509.2129828562312,Optional[33.4367683024313],
HEADINGFAULT-GILDA,542.1573415792541,651.8877064141286,Optional[23.194408264352035]HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[91.83637368551813],
HEADINGFAULT-GILDA,542.1573415792541,651.8877064141286,Optional[23.194408264352035]HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[91.83637368551813],
HEADINGFAULT-GILDA,542.1573415792541,651.8877064141286,Optional[23.194408264352035]HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[91.83637368551813],
HEADINGFAULT-GILDA,542.1573415792541,651.8877064141286,Optional[23.194408264352035]HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[91.83637368551813],
HEADINGFAULT-GILDA,542.1573415792541,651.8877064141286,Optional[23.194408264352035]HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[91.83637368551813],
HEADINGFAULT-GILDA,542.1573415792541,651.8877064141286,Optional[23.194408264352035]HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[91.83637368551813],
HEADINGFAULT-GILDA,542.1573415792541,651.8877064141286,Optional[23.194408264352035]HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[91.83637368551813],
HEADINGFAULT-GILDA,542.1573415792541,651.8877064141286,Optional[23.194408264352035]HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[91.83637368551813],
HEADINGFAULT-GILDA,542.1573415792541,651.8877064141286,Optional[23.194408264352035]HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[91.83637368551813],
HEADINGFAULT-HENRY,947.2190593228615,1082.897243532218,Optional[126.82727064763567]HEADINGFAULT-GILDA,139.4860064401825,164.27017495201596,Optional[69.45782141125585]HEADINGFAULT-HENRY,990.0181790827428,1159.448433171423,Optional[51.64914433840806]HEADINGFAULT-GILDA,596.5765108148831,1088.9715186945687,Optional[239.46283196896815],
HEADINGFAULT-GILDA,542.1573415792541,651.8877064141286,Optional[23.194408264352035]HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[91.83637368551813],
HEADINGFAULT-GILDA,852.5877699317764,1059.146564172036,Optional[114.32431265692239]HEADINGFAULT-HENRY,660.1849383388745,1132.9445151162608,Optional[359.2348741507613]HEADINGFAULT-GILDA,395.65602476286597,779.7881236461753,Optional[92.03822906855557]HEADINGFAULT-HENRY,695.6799321139812,1102.296071524126,Optional[271.65085724838684]HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[91.83637368551813],
HEADINGFAULT-GILDA,542.1573415792541,651.8877064141286,Optional[23.194408264352035]HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[91.83637368551813],
HEADINGFAULT-GILDA,542.1573415792541,651.8877064141286,Optional[23.194408264352035]HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[91.83637368551813],
HEADINGFAULT-GILDA,542.1573415792541,651.8877064141286,Optional[23.194408264352035]HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[91.83637368551813],
HEADINGFAULT-GILDA,542.1573415792541,651.8877064141286,Optional[23.194408264352035]HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[91.83637368551813],
HEADINGFAULT-GILDA,542.1573415792541,651.8877064141286,Optional[23.194408264352035]HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[91.83637368551813],
HEADINGFAULT-GILDA,542.1573415792541,651.8877064141286,Optional[23.194408264352035]HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[91.83637368551813]HEADINGFAULT-HENRY,382.6291945562209,619.708923525283,Optional[284.579610291275],
HEADINGFAULT-GILDA,542.1573415792541,651.8877064141286,Optional[23.194408264352035]HEADINGFAULT-HENRY,1134.3937183717496,1162.3400295108959,Optional[91.83637368551813],
HEADINGFAULT-HENRY,1084.0507781155923,1148.7196461204724,Optional[17.001974636145736]HEADINGFAULT-GILDA,1142.8563764061962,1198.0641448594388,Optional[58.10706722566057]HEADINGFAULT-GILDA,163.8301492778401,509.2129828562312,Optional[33.4367683024313],
