1951,SPEEDFAULT-HENRY,542.9811233305878,542.9811889642226,Optional[1.1118473308058774]:,
2046,SPEEDFAULT-HENRY,542.9811233305878,542.981148395669,Optional[1.3698608133202734]:,
2025,SPEEDFAULT-HENRY,862.3783319989633,862.37844436091,Optional[1.1118473308058774]:,
2036,SPEEDFAULT-HENRY,542.9811233305878,542.9811326764933,Optional[3.7214992609116266]:,
2047,SPEEDFAULT-HENRY,542.9811233305878,542.9814277965826,Optional[1.1412598657641952]:,
2007,SPEEDFAULT-HENRY,623.4047252776122,623.4047700775554,Optional[1.1412598657641952]:,
1919,SPEEDFAULT-HENRY,542.9811233305878,542.9814965577378,Optional[4.372831859914368]:,
2040,SPEEDFAULT-HENRY,0.0,5.495945811162528E-5,Optional[1.1118473308058774]:,
1918,SPEEDFAULT-HENRY,542.9811233305878,542.9845605128031,Optional[1.1412598657641952]:,
1987,SPEEDFAULT-HENRY,542.9811233305878,542.981178290046,Optional[1.1118473308058774]:,
2052,SPEEDFAULT-HENRY,542.9811233305878,542.981178290046,Optional[1.1118473308058774]:,
1778,SPEEDFAULT-HENRY,1199.8823153660205,1199.8892641690795,Optional[1.6710120841100276]:,
1997,SPEEDFAULT-HENRY,542.9811233305878,542.9811889642226,Optional[1.1118473308058774]:,
1998,SPEEDFAULT-HENRY,542.9811233305878,542.9811889642226,Optional[1.1118473308058774]:,
2017,SPEEDFAULT-HENRY,542.9811233305878,542.9811889642226,Optional[1.1118473308058774]:,
2029,SPEEDFAULT-HENRY,542.9811233305878,542.9811889642226,Optional[1.1118473308058774]:,
2050,SPEEDFAULT-HENRY,542.9811233305878,542.9811889642226,Optional[1.1118473308058774]:,
1412,SPEEDFAULT-HENRY,1162.6334284363083,1162.7321771142315,Optional[4.372831859914368]:,
1953,SPEEDFAULT-HENRY,542.9811233305878,542.9811771646549,Optional[1.3698608133202734]:,
2020,SPEEDFAULT-HENRY,542.9811233305878,542.9811771646549,Optional[1.3698608133202734]:,
1567,SPEEDFAULT-GILDA,780.5098168136484,780.8027751232368,Optional[2.1142322207146296]:,
1982,SPEEDFAULT-HENRY,542.9811233305878,542.9811764488363,Optional[1.706048828249798]:,
2035,SPEEDFAULT-HENRY,0.0,5.31182485019599E-5,Optional[1.706048828249798]:,
2022,SPEEDFAULT-GILDA,1114.0885379292888,1114.2997746715232,Optional[3.3360096204096634]:,
1963,SPEEDFAULT-HENRY,467.58457353850247,467.5846648430308,Optional[1.1118473308058774]:,
1537,SPEEDFAULT-HENRY,542.9811233305878,543.1565656260886,Optional[4.372831859914368]:,
2010,SPEEDFAULT-HENRY,444.10141562943716,444.10156595590576,Optional[1.0297173120128034]:,
1494,SPEEDFAULT-GILDA,313.25065295087177,313.9069436562751,Optional[1.4746631962000696]:,
1973,SPEEDFAULT-HENRY,444.10141562943716,444.10159282000814,Optional[1.0297173120128034]:,
2031,SPEEDFAULT-HENRY,444.10141562943716,444.10159282000814,Optional[1.0297173120128034]:,
1600,SPEEDFAULT-HENRY,1199.6829692780673,1200.0,Optional[4.372831859914368]:,
1996,SPEEDFAULT-HENRY,1199.9995641304108,1199.999659640553,Optional[2.0134668950875914]:,
1425,SPEEDFAULT-HENRY,1162.6334284363083,1162.9584032349414,Optional[4.824001090610707]:,
1694,SPEEDFAULT-HENRY,1162.6334284363083,1162.9584032349414,Optional[4.824001090610707]:,
2001,SPEEDFAULT-HENRY,542.9811233305878,542.9812975657863,Optional[1.1118473308058774]:,
1789,SPEEDFAULT-HENRY,1162.6334284363083,1163.0301366305696,Optional[4.655533880717083]:,
2028,SPEEDFAULT-HENRY,542.9811233305878,542.9812995055387,Optional[1.1412598657641952]:,
1470,SPEEDFAULT-GILDA,1114.0885379292888,1115.1613691327,Optional[3.3360096204096634]:,
2018,SPEEDFAULT-HENRY,542.9811233305878,542.9813539738508,Optional[1.1118473308058774]:,
1664,SPEEDFAULT-HENRY,1162.6334284363083,1163.4733810637988,Optional[4.372831859914368]:,
1917,SPEEDFAULT-HENRY,542.9811233305878,542.9813569288501,Optional[1.1412598657641952]:,
1305,SPEEDFAULT-GILDA,1196.9821983946051,1199.8593288610853,Optional[2.25631105516486]:,
1974,SPEEDFAULT-HENRY,623.4047252776122,623.4049588758746,Optional[1.1412598657641952]:,
2012,SPEEDFAULT-HENRY,1199.9997664017376,1200.0,Optional[1.1412598657641952]:,
929,SPEEDFAULT-GILDA,1196.9821983946051,1200.0,Optional[4.748053752067458]:,
1259,SPEEDFAULT-GILDA,1196.9821983946051,1200.0,Optional[4.748053752067458]:,
1673,SPEEDFAULT-GILDA,1196.9821983946051,1200.0,Optional[4.748053752067458]:,
1786,SPEEDFAULT-GILDA,1196.9821983946051,1200.0,Optional[4.748053752067458]:,
1967,SPEEDFAULT-HENRY,1199.9995641304108,1199.9996502382412,Optional[3.208775343531588]:,
1631,HEADINGFAULT-GILDA,432.052199513393,434.952043205346,Optional[230.91202939298284]:,
1939,SPEEDFAULT-HENRY,542.9811233305878,542.981190311912,Optional[4.372831859914368]:,
1422,HEADINGFAULT-HENRY,1194.0763123570807,1200.0,Optional[241.94455058358122]:1423,SPEEDFAULT-HENRY,952.4636947759111,952.8171733205675,Optional[4.372831859914368]:,
2030,SPEEDFAULT-HENRY,542.9811233305878,542.9812136388134,Optional[3.3782871583056613]:,
1108,SPEEDFAULT-HENRY,542.9811233305878,553.4063211744415,Optional[4.372831859914368]:,
1942,SPEEDFAULT-HENRY,542.9811233305878,542.9812136388134,Optional[3.580837551639164]:,
